"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_uninfected_child_Uninfected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000125691",9.71967297358e-212,1,3,0,-0.992904162311642,1,1
"ENSG00000229833",7.47491072878842e-19,1,4,0,-0.968088654558942,1,0.666666666666667
"ENSG00000120963",2.6426929098038e-20,1,5,0,0.964948024977924,1,0.5
"ENSG00000150787",5.09336124378452e-05,1,3,0,-0.96115316028207,0.833333333333333,0.5
"ENSG00000104388",1.8380259223807e-07,0.178297405139906,3,0,0.94942095936378,1,0.833333333333333
"ENSG00000198830",3.46196901792168e-23,0.061628716330108,6,0,0.945272839226134,1,0.833333333333333
"ENSG00000170017",3.56559401839795e-07,1,3,0,-0.937967961889663,1,0.5
"ENSG00000205084",0.00373955362373355,0.345758308592533,3,0,-0.937560500728949,0.833333333333333,0.5
"ENSG00000104408",4.00084521804882e-32,2.51367784685642e-29,4,1,-0.928346460895849,1,0.666666666666667
"ENSG00000154001",3.08540098293491e-07,1,5,0,0.916665096049495,1,0.666666666666667
"ENSG00000134759",0.000526604142129123,1,3,0,-0.911093736743316,0.833333333333333,0.5
"ENSG00000163882",7.06102316802131e-16,1,4,0,0.905487924735401,1,0.666666666666667
"ENSG00000188603",1.79167948780265e-10,1,4,0,0.899772274664575,1,0.833333333333333
"ENSG00000151632",2.52406841793901e-93,1,4,0,-0.895142767373024,1,1
"ENSG00000170296",6.59951267182015e-13,0.0336232414401193,6,1,0.895098431306836,1,0.833333333333333
"ENSG00000211450",2.52406841793901e-93,5.47844366318142e-55,4,1,0.892643013451304,1,0.833333333333333
"ENSG00000166508",1.18660716623052e-06,1,4,0,-0.881086404958228,1,0.5
"ENSG00000154813",0.0479924468762044,0.152607124507759,3,0,0.877415363263573,1,0.5
"ENSG00000177570",0.000292385921509849,1,3,0,0.875053842167789,1,0.5
"ENSG00000102054",3.04078280891889e-10,0.0878175400272218,4,0,-0.870101685238619,1,0.833333333333333
"ENSG00000100568",4.16665651227981e-19,0.12762541717557,4,0,-0.867733958235388,1,1
"ENSG00000159658",0.00204009743448957,0.306156236677271,3,0,-0.864895035521882,1,0.666666666666667
"ENSG00000165410",0.00234272715973545,1,3,0,0.8482987866473,0.833333333333333,0.666666666666667
